gene_id,pyrEplusFe2,pyrEplusFe3,troRplusFe1,troRplusFe2,troRplusFe3
HVO_RS00005,480,553,1681,1307,856
HVO_RS00010,117,145,510,458,245
HVO_RS00015,23,47,85,87,53
HVO_RS00020,30,35,123,116,54
HVO_RS00025,84,123,196,159,95
HVO_RS00030,69,114,190,149,120
HVO_RS00035,1514,2186,3445,2649,1682
HVO_RS00040,12,17,50,28,21
HVO_RS00045,62,146,185,147,97
HVO_RS00055,85,162,236,200,136
HVO_RS00060,68,89,156,122,112
HVO_RS00065,15470,19455,15634,10558,10121
HVO_RS00070,5146,8048,3979,2628,2647
HVO_RS00075,355,449,964,830,492
HVO_RS00080,705,948,1411,1176,880
HVO_RS00085,62,63,147,155,87
HVO_RS00090,58,94,212,168,97
HVO_RS00095,153,222,385,350,212
HVO_RS00100,22,28,96,88,44
HVO_RS00105,13,31,52,56,41
HVO_RS00110,63,78,223,205,126
HVO_RS00115,27,39,86,118,41
HVO_RS00120,115,143,195,148,114
HVO_RS00125,15,18,41,32,15
HVO_RS00130,9,7,11,6,10
HVO_RS00135,117,169,483,407,241
HVO_RS00140,16,17,29,18,13
HVO_RS00145,91,118,429,302,204
HVO_RS00150,11,27,21,26,12
HVO_RS00155,3,1,14,9,7
HVO_RS00160,0,0,5,1,1
HVO_RS00165,0,1,0,2,0
HVO_RS00170,0,2,4,4,2
HVO_RS00180,37,43,45,25,16
HVO_RS00185,475,613,426,297,229
HVO_RS00190,254,357,489,334,302
HVO_RS00195,238,363,5086,8623,2125
HVO_RS00200,300,434,5850,9748,2796
HVO_RS00205,225,350,4298,6138,2069
HVO_RS00210,910,1349,17635,23428,8592
HVO_RS00215,2657,3097,38262,41128,20087
HVO_RS00220,2985,3660,44339,42828,21895
HVO_RS00225,9760,12605,42847,33543,21541
HVO_RS00230,88,90,227,198,122
HVO_RS00235,49,56,93,103,38
HVO_RS00245,1719,2144,5123,3863,2397
HVO_RS00250,69,65,172,309,94
HVO_RS00255,16,24,59,116,35
HVO_RS00260,109,178,366,530,173
HVO_RS00265,110,117,258,458,124
HVO_RS00270,54,55,126,195,63
HVO_RS00280,290,357,813,1090,390
HVO_RS00295,503,548,1228,1327,548
HVO_RS00305,73,78,258,275,103
HVO_RS00310,483,575,1963,1861,715
HVO_RS00315,267,269,940,818,376
HVO_RS00320,88,160,471,409,238
HVO_RS00325,216,244,359,300,177
HVO_RS00330,29,32,137,126,58
HVO_RS00335,238,260,788,572,369
HVO_RS00340,317,454,1069,818,594
HVO_RS00345,656,875,1507,1213,904
HVO_RS00350,64,99,267,206,145
HVO_RS00355,14,39,87,72,42
HVO_RS00360,27,24,61,58,34
HVO_RS00365,23,38,70,67,47
HVO_RS00370,48,53,80,78,55
HVO_RS00375,28,41,63,52,28
HVO_RS00380,14,15,35,33,14
HVO_RS00385,29,30,59,39,40
HVO_RS00390,16,18,52,36,29
HVO_RS00395,56,93,89,56,56
HVO_RS00400,57,92,139,155,110
HVO_RS00405,84,124,267,238,129
HVO_RS00410,40,37,101,87,57
HVO_RS00415,13,33,68,56,50
HVO_RS00420,47,40,157,131,82
HVO_RS00425,18,30,25,25,16
HVO_RS00430,2,1,24,29,9
HVO_RS00435,4,12,42,51,31
HVO_RS00440,6,2,27,13,5
HVO_RS00445,8,18,36,19,22
HVO_RS00450,17,40,99,85,50
HVO_RS00455,7,12,23,11,14
HVO_RS00460,288,408,873,630,550
HVO_RS00465,62,98,210,159,141
HVO_RS00470,14,11,19,24,12
HVO_RS00475,1,2,11,4,5
HVO_RS00480,34,67,91,88,59
HVO_RS00485,136,162,318,211,149
HVO_RS00490,494,592,968,789,486
HVO_RS00495,23,35,112,82,78
HVO_RS00500,2,6,11,9,7
HVO_RS00505,27,43,81,70,51
HVO_RS00515,6,9,21,18,8
HVO_RS00520,1,0,3,4,6
HVO_RS00525,0,1,3,3,0
HVO_RS00530,35,40,71,52,31
HVO_RS00545,90,123,438,378,260
HVO_RS00550,926,1173,1737,1272,1106
HVO_RS00565,1309,1562,1841,1541,1208
HVO_RS00570,2348,3415,5976,5507,3634
HVO_RS00575,51,62,104,111,43
HVO_RS00580,2,2,2,7,5
HVO_RS00585,2,0,1,1,1
HVO_RS00590,0,2,2,1,0
HVO_RS00595,2,0,5,0,3
HVO_RS00600,0,3,0,2,3
HVO_RS00605,0,1,0,1,0
HVO_RS00610,8,13,11,15,13
HVO_RS00615,105,111,88,76,53
HVO_RS00620,69,65,80,57,44
HVO_RS00630,933,1310,1731,1513,1015
HVO_RS00635,645,743,1246,1112,692
HVO_RS00640,10303,11794,20364,14913,11850
HVO_RS00645,1323,1566,5596,3921,2521
HVO_RS00650,2395,3019,6999,4402,3249
HVO_RS00655,2389,3407,6599,4879,3176
HVO_RS00660,55,50,252,160,119
HVO_RS00665,185,236,306,272,167
HVO_RS00670,542,615,1243,1282,829
HVO_RS00675,1361,1398,1976,1571,1287
HVO_RS00680,375,435,1051,917,556
HVO_RS00685,282,321,1070,1027,559
HVO_RS00690,524,609,1569,1249,738
HVO_RS00695,2524,3284,4172,3820,2468
HVO_RS00700,1398,2010,6894,4215,2855
HVO_RS00705,54,103,232,202,131
HVO_RS00710,173,278,538,469,298
HVO_RS00715,98,141,382,356,189
HVO_RS00720,4237,18340,15827,12203,8186
HVO_RS00725,510,713,4019,3906,2179
HVO_RS00735,9,9,19,8,8
HVO_RS00745,50,76,231,284,85
HVO_RS00750,276,398,1444,1085,662
HVO_RS00755,469,755,1814,1521,1031
HVO_RS00760,594,754,2534,2312,1279
HVO_RS00765,50,69,124,98,59
HVO_RS00770,376,592,401,342,335
HVO_RS00775,19,26,72,42,34
HVO_RS00780,194,283,561,435,304
HVO_RS00785,11,14,24,15,18
HVO_RS00790,8,16,27,20,19
HVO_RS00795,22,34,68,44,40
HVO_RS00800,1,2,2,2,2
HVO_RS00805,18,45,71,56,36
HVO_RS00810,31,31,62,40,33
HVO_RS00815,2,9,16,12,8
HVO_RS00820,16,20,36,20,15
HVO_RS00825,29,39,98,79,47
HVO_RS00830,9,10,30,19,10
HVO_RS00835,22,34,83,70,32
HVO_RS00840,43,85,306,175,144
HVO_RS00850,34,55,153,114,65
HVO_RS00855,144,174,372,285,233
HVO_RS00860,3,3,2,4,5
HVO_RS00865,0,0,1,1,0
HVO_RS00870,0,1,2,1,3
HVO_RS00875,1,8,4,6,4
HVO_RS00880,0,1,2,1,3
HVO_RS00885,0,0,2,2,1
HVO_RS00890,16,21,43,46,22
HVO_RS00895,109,182,311,215,156
HVO_RS00900,47,42,274,220,123
HVO_RS00905,271,303,682,660,349
HVO_RS00910,26,26,132,144,47
HVO_RS00915,21,29,62,80,37
HVO_RS00920,12,17,53,22,19
HVO_RS00925,53,38,78,57,53
HVO_RS00930,11,16,18,10,12
HVO_RS00935,10,12,26,20,14
HVO_RS00940,82,108,228,193,128
HVO_RS00945,2278,1896,1875,1948,3296
HVO_RS00950,9642,10113,4570,4465,8387
HVO_RS00955,3249,3729,6833,5512,4082
HVO_RS00965,89,153,362,312,177
HVO_RS00970,4402,5482,24849,21532,11313
HVO_RS00975,18407,24248,70027,55443,34043
HVO_RS00980,22,37,111,96,59
HVO_RS00985,930,1210,2297,1729,1091
HVO_RS00990,22,29,85,65,34
HVO_RS00995,22,44,79,80,37
HVO_RS01000,7,14,30,20,17
HVO_RS01005,11,10,28,21,12
HVO_RS01010,2,5,6,5,2
HVO_RS01015,1,2,0,2,0
HVO_RS01025,1,1,6,4,7
HVO_RS01030,0,3,0,0,0
HVO_RS01035,0,3,6,7,0
HVO_RS01040,6,6,33,15,9
HVO_RS01045,8,5,9,5,5
HVO_RS01050,6,18,23,11,11
HVO_RS01055,3,5,1,6,2
HVO_RS01060,2,2,4,2,5
HVO_RS01065,62,91,125,115,80
HVO_RS01070,5,18,39,42,22
