"","Locus","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","HVO_RS18640",4677.52670592143,-2.76095503323237,0.117179421866584,-23.5617738102164,9.50828617637706e-123,3.59698466052344e-119
"2","HVO_RS14260",13346.6879116232,2.0217235200962,0.093719073018377,21.5721672759159,3.27963241086894e-103,6.20342470515859e-100
"3","HVO_RS07285",74327.0086234567,-3.03358711955749,0.147609825340007,-20.5513902111182,7.47904565871661e-94,9.43107657564165e-91
"4","HVO_RS10605",123847.319353381,1.99872513191588,0.099881870480799,20.0108900874069,4.42673535206744e-89,4.18658495921778e-86
"5","HVO_RS05045",4230.94192491509,-1.97111321671657,0.101363256706594,-19.4460328205728,3.14870085732803e-84,2.38230706865439e-81
"6","HVO_RS00220",20018.5596899877,2.93546350830205,0.151291398194082,19.40271253582,7.32049414941952e-84,4.61557156120901e-81
"7","HVO_RS07290",3455.17264145734,3.50982826589945,0.189143510208741,18.5564297819468,7.23563428357307e-77,3.91034349925099e-74
"8","HVO_RS00215",18271.3196546474,3.01271198338159,0.170475125516545,17.6724432626342,6.83705110967875e-70,3.23307054348934e-67
"9","HVO_RS20800",623.276473621253,-2.82817390331158,0.165424263564601,-17.0964877967078,1.57621541938567e-65,6.62535881281776e-63
"10","HVO_RS13480",674.747711271198,-2.09938226723046,0.124188569043673,-16.904794727864,4.14766578611366e-64,1.5690619668868e-61
"11","gap",100815.647786546,-2.08150192754177,0.123781923872505,-16.8158795922877,1.86700764380931e-63,6.42080901502782e-61
"12","HVO_RS14630",8634.57926844554,1.8595187787303,0.110700327759576,16.7977712113815,2.53387892350063e-63,7.98805330633572e-61
"13","trpD",589.750352125163,3.17222358360886,0.191715912196451,16.5464804004286,1.69740287598359e-61,4.93944236911226e-59
"14","HVO_RS14505",11376.8501184462,2.05620228806616,0.129811334309407,15.8399287628087,1.65007660664239e-56,4.45874271637725e-54
"15","HVO_RS10055",867.001515092201,-1.82558529027675,0.120720235131447,-15.1224464422965,1.15182664655148e-51,2.90490680260283e-49
"16","HVO_RS14755",351.195304753448,3.33261085098366,0.220923494453349,15.0849091864577,2.0355451479118e-51,4.81279205909397e-49
"17","trpE",812.807472228737,3.1714290079663,0.210988936933575,15.0312573448567,4.58224845911123e-51,1.01968505416575e-48
"18","HVO_RS11765",4850.47186920617,1.70738803961742,0.115299493819199,14.8082873832453,1.29497863734164e-49,2.72161343614634e-47
"19","HVO_RS11760",3299.92702716567,1.79523490859831,0.125302789704806,14.3271743017661,1.48021807770217e-46,2.94719209891964e-44
"20","HVO_RS19030",655.240188226417,-1.75711362609643,0.123825395231523,-14.1902525149308,1.05278957075234e-45,1.99135147307804e-43
"21","HVO_RS07060",659.419315462147,-1.92865578151412,0.139226448733319,-13.8526537095575,1.22597749544629e-43,2.20851088822539e-41
"22","HVO_RS05590",364.399531485322,-2.34665218752265,0.170745553611689,-13.7435624991995,5.56677629426699e-43,9.5723248732782e-41
"23","HVO_RS00725",2012.21957918946,1.96814417483451,0.143883703607997,13.6787150002519,1.3607616996997e-42,2.23815717824519e-40
"24","HVO_RS16495",10450.0767862645,-2.63496347909322,0.201922712032418,-13.049366525298,6.40779789720524e-39,1.01002914354698e-36
"25","HVO_RS13190",14621.2500931852,1.13252634138389,0.0868448368145963,13.0408022275602,7.16986390777618e-39,1.08494380652469e-36
"26","tatA",1089.64205019734,-1.66802033846443,0.1298881952366,-12.8419702454563,9.54148519793523e-38,1.38828609629958e-35
