"","variable","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","strain","name","media","condition","techrep","biorep","X","X.1","ID"
"3","11",0.584262891982609,0.0817580098771175,0.18287475753791,9.9294270835415,3.79028352459337,31.6942129381844,31.4206875,0.0141082009933517,"H26","pyrE","PR","100microMFe",1,1,NA,NA,"pyrE (100microMFe)"
"4","12",0.564727213218094,0.101087194042553,0.153424606092944,9.92751434993883,4.51783581663583,30.3757362407307,30.061435,0.0207099616348209,"H26","pyrE","PR","100microMFe",2,1,NA,NA,"pyrE (100microMFe)"
"5","13",0.558136871652366,0.0988612589091293,0.159018645199481,9.65882365153471,4.3589050811647,30.2042150913678,29.89268,0.0234980740348727,"H26","pyrE","PR","100microMFe",3,1,NA,NA,"pyrE (100microMFe)"
"6","14",0.622216575434548,0.0693514307847486,0.190332984713034,10.9068185717435,3.641760683809,33.2714621388685,33.0179333333333,0.0146092681344739,"H26","pyrE","PR","100microMFe",1,2,NA,NA,"pyrE (100microMFe)"
"7","15",0.646052469029683,0.0824251748751518,0.175787827026374,10.9364927539474,3.94308975931508,34.4265197850508,34.1084341666667,0.0187052002624294,"H26","pyrE","PR","100microMFe",2,2,NA,NA,"pyrE (100microMFe)"
"8","16",0.592170687673932,0.0852966052720643,0.166820574347571,10.6829026655825,4.15504612228329,31.6133047318718,31.3294408333333,0.0164756712635148,"H26","pyrE","PR","100microMFe",3,2,NA,NA,"pyrE (100microMFe)"
"9","17",0.376407431075782,0.0816893249838799,0.129345092201684,9.91994340799383,5.35889819057954,20.0229203685869,19.8591733333333,0.0114384865836539,"H26","pyrE","PR","1microMFe",1,1,NA,NA,"pyrE (1microMFe)"
"10","18",0.369460117554562,0.0826323436478295,0.12872917410499,9.6674338190877,5.38453839527178,19.718903743434,19.556925,0.0112670825564265,"H26","pyrE","PR","1microMFe",2,1,NA,NA,"pyrE (1microMFe)"
"11","19",0.399380180388663,0.0916749247571618,0.129425799346799,9.35588943988042,5.35555649691331,21.4207691958616,21.2404458333333,0.0127397045363849,"H26","pyrE","PR","1microMFe",3,1,NA,NA,"pyrE (1microMFe)"
"13","20",0.296176166482034,0.102968798502931,0.105024265654636,5.99231081011928,6.59987647844459,16.2776959773559,16.1359125,0.00974942573654245,"H26","pyrE","PR","1microMFe",1,2,NA,NA,"pyrE (1microMFe)"
"14","21",0.295763343140296,0.0990288206996352,0.102281767479253,6.7113065119372,6.77684007269963,16.0681560441671,15.9296625,0.00903450944004786,"H26","pyrE","PR","1microMFe",2,2,NA,NA,"pyrE (1microMFe)"
"15","22",0.290408695898509,0.104677999501985,0.105367111603102,5.44200918201939,6.57840164747895,16.0693601485127,15.9306633333333,0.0104006090730068,"H26","pyrE","PR","1microMFe",3,2,NA,NA,"pyrE (1microMFe)"
"16","23",0.258806386420047,0.0911276716396853,0.0626770914781769,9.72904475465166,11.0590195590248,12.6395283582461,12.5141575,0.00280009663361348,"H26","pyrE","PR","-Fe",1,1,NA,NA,"pyrE (-Fe)"
"17","24",0.260522539435812,0.103346176433946,0.0701125013798243,5.98016343299678,9.88621382661732,13.5571517794927,13.4201658333333,0.00706457256356648,"H26","pyrE","PR","-Fe",2,1,NA,NA,"pyrE (-Fe)"
"18","25",0.21437902738134,0.109597759191486,0.046080063567182,-0.975300557937896,15.0422357718621,11.0306176479634,10.9276641666667,0.00541089542131922,"H26","pyrE","PR","-Fe",3,1,NA,NA,"pyrE (-Fe)"
"19","26",0.242103535780959,0.085669306976549,0.036824394647406,16.3516888109005,18.8230434524949,9.92039550036139,9.8176375,0.00230506184058762,"H26","pyrE","PR","-Fe",1,2,NA,NA,"pyrE (-Fe)"
"20","27",0.168520021781913,0.0845184881975671,0.0600004722229985,-0.102253362481227,11.5523620878147,9.07154179291464,8.988135,0.00270112391806872,"H26","pyrE","PR","-Fe",2,2,NA,NA,"pyrE (-Fe)"
"21","28",0.158932002334584,0.0910333748524011,0.0414002481113291,-7.08233377154639,16.742585182002,8.38076034015218,8.30538833333333,0.00352724803215762,"H26","pyrE","PR","-Fe",3,2,NA,NA,"pyrE (-Fe)"
