"","variable","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","strain","name","media","condition","techrep","biorep","ID"
"2","10",0.352990269849019,0.272437216613701,0.0807722275529084,-15.0855338892488,8.58150383565827,21.8191202950328,21.6489375,0.00544368368109866,"H26","pyrE","PR","(--Fe)",3,2,"pyrE ((--Fe))"
"3","100",0.592787542728784,0.239043092482536,0.0870939379846217,4.50009415811143,7.95861568094825,32.3847087865464,32.1086966666667,0.0184944637737597,"SH118","idr","PR","(10Fe)",3,3,"idr ((10Fe))"
"4","101",0.603089365227316,0.241409175472983,0.0812725057723712,4.9742166361718,8.52867982809978,32.4629785473992,32.1809675,0.0188594260828097,"SH119","sirR","PR","(10Fe)",1,1,"sirR ((10Fe))"
"5","102",0.65906861246418,0.224426664493922,0.0805515757092305,8.20559481171379,8.6050108201734,34.109128564091,33.81169,0.0225529640064143,"SH119","sirR","PR","(10Fe)",2,1,"sirR ((10Fe))"
"6","103",0.67012544085097,0.222772168315091,0.0801094898353437,8.7030765060027,8.65249775007472,34.437028093552,34.1351841666667,0.0222324945050295,"SH119","sirR","PR","(10Fe)",3,1,"sirR ((10Fe))"
"7","104",0.691078305388795,0.198346874580528,0.0789035429685949,11.5323955874687,8.78474089352149,34.1153471977707,33.8076508333333,0.0206222234848312,"SH119","sirR","PR","(10Fe)",1,2,"sirR ((10Fe))"
"8","105",0.653593369671569,0.200456873042025,0.0825410052217556,9.88107993603072,8.39761011751345,33.2081830609241,32.9186558333333,0.0228592319732881,"SH119","sirR","PR","(10Fe)",2,2,"sirR ((10Fe))"
"9","106",0.65578756725866,0.200890772218028,0.0817349035649017,9.99951299796777,8.48043064013101,33.2230060506526,32.9294033333333,0.0211973258702143,"SH119","sirR","PR","(10Fe)",3,2,"sirR ((10Fe))"
"10","107",0.665505030551768,0.221895291880744,0.0762400954279719,9.08628973582351,9.09163579438064,33.7924008007271,33.4956641666667,0.019998913720306,"SH119","sirR","PR","(10Fe)",1,3,"sirR ((10Fe))"
"11","108",0.650615295899629,0.228482145810768,0.0740506916837484,8.28976341832023,9.3604416758212,33.2265570173835,32.9331758333333,0.0202567814458647,"SH119","sirR","PR","(10Fe)",2,3,"sirR ((10Fe))"
"12","109",0.654242481566627,0.232819239283979,0.0724179218305843,8.19376315079558,9.57148676789574,33.3378975343889,33.038185,0.0190737626309493,"SH119","sirR","PR","(10Fe)",3,3,"sirR ((10Fe))"
"13","11",0.352887327887751,0.274851579900053,0.0399652796060898,-31.5039510718556,17.3437340459474,20.9156194580069,20.7472016666667,0.00486435018848331,"H26","pyrE","PR","(--Fe)",1,3,"pyrE ((--Fe))"
"14","110",0.619291740336339,0.258500574411597,0.0516740048446999,6.45201369938369,13.4138467231854,30.3513152064174,30.0717266666667,0.019712964032658,"SH117","troR","PR","(10Fe)",1,1,"troR ((10Fe))"
"15","111",0.787213859942564,0.237221263689215,0.0491826889366218,17.0977131851821,14.0933160741405,33.4194154978855,33.092215,0.0247073971373636,"SH117","troR","PR","(10Fe)",2,1,"troR ((10Fe))"
"16","112",0.839482725706752,0.226490378852644,0.0518203429656842,19.2134966229002,13.375966674303,34.7872182150984,34.4482041666667,0.0279491397944946,"SH117","troR","PR","(10Fe)",3,1,"troR ((10Fe))"
"17","113",0.829108027028698,0.215065087188452,0.0528297227690913,19.8585964847414,13.1204016267426,34.097200235393,33.7741775,0.0310049336284131,"SH117","troR","PR","(10Fe)",1,2,"troR ((10Fe))"
"18","114",0.815375513438919,0.217272956941872,0.0515146720456141,19.6566874836625,13.4553352090875,33.5283647573195,33.2109266666667,0.0306090040056056,"SH117","troR","PR","(10Fe)",2,2,"troR ((10Fe))"
"19","115",0.856025471991443,0.223848077415429,0.0487739452430508,21.2860050848105,14.211423273345,34.0669641058859,33.7354333333333,0.0291042516689319,"SH117","troR","PR","(10Fe)",3,2,"troR ((10Fe))"
"20","116",0.859421012258687,0.214506789053905,0.0532624573447839,20.6670136354949,13.0138040021886,34.9215448957099,34.5791783333333,0.0273057066249847,"SH117","troR","PR","(10Fe)",1,3,"troR ((10Fe))"
"21","117",0.887964703603797,0.219521405696447,0.0480827883063206,23.1580127580979,14.4157026864607,34.227841522488,33.8859216666667,0.0278435279725687,"SH117","troR","PR","(10Fe)",2,3,"troR ((10Fe))"
"22","118",0.877016735594975,0.22285832510659,0.0489316526431526,22.0064769059125,14.1656196575846,34.5145301944247,34.17169,0.0282424312025053,"SH117","troR","PR","(10Fe)",3,3,"troR ((10Fe))"
"23","119",0.858287402785431,0.205531254015145,0.0817612395504978,14.1339040802786,8.47769902181877,40.946952474235,40.5954333333333,0.0294930413900057,"AKS338","arsR","PR","(10Fe)",1,1,"arsR ((10Fe))"
"24","12",0.342318707153096,0.273154351081691,0.0470198406859879,-29.2121657518063,14.741589304587,20.6937558913507,20.528695,0.0048838343382528,"H26","pyrE","PR","(--Fe)",2,3,"pyrE ((--Fe))"
"25","120",0.646079823382367,0.197871698467401,0.0837027072010576,9.76836811257636,8.28106047866498,32.9370159583,32.6488891666667,0.0189606672664845,"AKS338","arsR","PR","(10Fe)",2,1,"arsR ((10Fe))"
"26","121",0.676534711721286,0.224921859189863,0.0823947934029412,8.4601491632673,8.41251190679243,35.0101415587322,34.7099641666667,0.0261396412257009,"AKS338","arsR","PR","(10Fe)",3,1,"arsR ((10Fe))"
"27","122",0.736340151972788,0.223104274150986,0.0730646329263345,11.4021825292224,9.48676743861551,36.0272943539285,35.7036925,0.0252099653013965,"H26","pyrE","PR","(100Fe)",1,1,"pyrE ((100Fe))"
"28","123",0.771975850499196,0.1924830253766,0.0756420383439713,14.5705395531738,9.16351800843808,36.2259040932957,35.899925,0.0265889841283656,"H26","pyrE","PR","(100Fe)",2,1,"pyrE ((100Fe))"
"29","124",0.792157718987065,0.191472402763931,0.076102891493134,15.0234437527929,9.10802686941903,36.9387734590068,36.6034233333333,0.0260065760677594,"H26","pyrE","PR","(100Fe)",3,1,"pyrE ((100Fe))"
"30","125",0.811335103627522,0.17566773701134,0.0844915023042124,15.2214249964386,8.20375021933286,38.1861214918137,37.8486616666667,0.0260819629715003,"H26","pyrE","PR","(100Fe)",1,2,"pyrE ((100Fe))"
"31","126",0.801354856201128,0.176499241101189,0.0842388273412729,15.00737926268,8.22835742657991,37.8351913905535,37.4976608333333,0.0246177691031941,"H26","pyrE","PR","(100Fe)",2,2,"pyrE ((100Fe))"
"32","127",0.822781383450115,0.166897850763846,0.0875244759424185,15.6367834667072,7.91946679024917,38.6080962454266,38.2701466666667,0.0241868901513301,"H26","pyrE","PR","(100Fe)",3,2,"pyrE ((100Fe))"
"33","128",0.827640247569648,0.191228207212419,0.0761267205825344,15.7944370855105,9.10517588641501,38.1218692549921,37.7761716666667,0.0241105502197929,"H26","pyrE","PR","(100Fe)",1,3,"pyrE ((100Fe))"
"34","129",0.802923753822022,0.209662082662248,0.0753203777716684,13.809522663779,9.20265140811164,38.0992471400928,37.7571916666667,0.0265641982916365,"H26","pyrE","PR","(100Fe)",2,3,"pyrE ((100Fe))"
"35","13",0.347596251684222,0.270474397044362,0.0447923437689578,-28.0135094298649,15.4746798724186,20.7664412030813,20.5996908333333,0.00511545171145232,"H26","pyrE","PR","(--Fe)",3,3,"pyrE ((--Fe))"
"36","130",0.748673829942907,0.225625157472205,0.0690757380709509,12.1721391647525,10.0345968051472,35.9422017375251,35.6006841666667,0.0178675774094078,"H26","pyrE","PR","(100Fe)",3,3,"pyrE ((100Fe))"
"37","131",0.687839967785394,0.221781216369487,0.0807679596874306,9.19449149099995,8.58195729151018,35.1637615079712,34.8579533333333,0.0251199742933919,"SH118","idr","PR","(100Fe)",1,1,"idr ((100Fe))"
"38","132",0.760221598370504,0.194247950152385,0.0791228193048695,13.5158490563163,8.76039537834424,36.4664891036294,36.1401833333333,0.0257440385430133,"SH118","idr","PR","(100Fe)",2,1,"idr ((100Fe))"
"39","133",0.78194765885957,0.185038983007367,0.0800150519790173,14.6372161126329,8.66270987040928,36.9144642165544,36.5844166666667,0.0259588038315885,"SH118","idr","PR","(100Fe)",3,1,"idr ((100Fe))"
"40","134",0.755722589506607,0.193767608307026,0.0768213827854144,13.8602321093808,9.02284175873424,35.9247519879836,35.5974275,0.0246201206918305,"SH118","idr","PR","(100Fe)",1,2,"idr ((100Fe))"
"41","135",0.757866506767287,0.203131932898779,0.0726408295737448,13.8301569003046,9.54211542774664,35.7751676151345,35.4426775,0.0233834773638349,"SH118","idr","PR","(100Fe)",2,2,"idr ((100Fe))"
"42","136",0.781798254607162,0.200016820686232,0.0734800267442966,14.5303889365617,9.43313729283238,36.5707056079078,36.2301683333333,0.0219130879417727,"SH118","idr","PR","(100Fe)",3,2,"idr ((100Fe))"
"43","137",0.791518633721311,0.222716190781357,0.0725614424781185,12.9219440453795,9.55255514344233,37.8628789556669,37.5076783333333,0.0166503678709035,"SH118","idr","PR","(100Fe)",1,3,"idr ((100Fe))"
"44","138",0.801840334260864,0.252849900191272,0.0637317765856981,12.1648104888931,10.8760059376015,38.0256997012479,37.6662016666667,0.0169260446489796,"SH118","idr","PR","(100Fe)",2,3,"idr ((100Fe))"
"45","139",0.792266414967458,0.255085346440018,0.0642896762011379,11.5840845052818,10.7816250060329,37.922441854006,37.5689608333333,0.0193243774950758,"SH118","idr","PR","(100Fe)",3,3,"idr ((100Fe))"
"46","14",0.334372871817638,0.264085461446974,0.0643939205343233,-20.5559788710477,10.7641711330573,20.5298450238606,20.3691683333333,0.00567537722728432,"SH118","idr","PR","(--Fe)",1,1,"idr ((--Fe))"
"47","140",0.645007508152426,0.253881573446593,0.0703365324723301,6.1441993877863,9.85472493732363,33.5200579261965,33.22171,0.0167779990795633,"SH119","sirR","PR","(100Fe)",1,1,"sirR ((100Fe))"
