"","variable","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","strain","name","media","condition","techrep","biorep","X","X.1","X.2","X.3","ID"
"3","100",0.680958319692996,0.0875606854364232,0.0683779798993209,27.9846322323492,10.136994125602,24.5977673074861,24.3521933333333,0.0203993215208535,"SH118","idr","PR","-Fe",1,1,NA,NA,NA,NA,"idr (-Fe)"
"4","101",0.653170887809797,0.103594752994947,0.069289665878554,24.0823882494717,10.0036155719793,25.6360781041844,25.3624558333333,0.0140505843385116,"SH118","idr","PR","-Fe",2,1,NA,NA,NA,NA,"idr (-Fe)"
"5","102",0.67538483524737,0.122013179312797,0.0655020547459561,23.0817306084262,10.5820677419701,26.8980790012213,26.6029641666667,0.0128490123987953,"SH118","idr","PR","-Fe",3,1,NA,NA,NA,NA,"idr (-Fe)"
"6","103",0.612797730620407,0.0909895351301964,0.0623450317778005,28.0143505846599,11.1179216818806,22.0187220481929,21.7661825,0.0130152336400156,"SH119","sirR","PR","-Fe",1,1,NA,NA,NA,NA,"sirR (-Fe)"
"7","104",0.639626586170939,0.102393230181046,0.0657948163490913,25.1936557939705,10.5349816143915,24.4490593960067,24.1734508333333,0.012854875534047,"SH119","sirR","PR","-Fe",2,1,NA,NA,NA,NA,"sirR (-Fe)"
"8","105",0.670325669527095,0.101629311946417,0.0656364283724877,26.2356544258941,10.5604036926922,25.0776049820232,24.7994533333333,0.0135094247943212,"SH119","sirR","PR","-Fe",3,1,NA,NA,NA,NA,"sirR (-Fe)"
"9","106",0,0,0,0,0,0,0,0,"SH117","troR","PR","-Fe",1,1,NA,NA,NA,NA,"troR (-Fe)"
"10","107",90479.6927790285,0.0936998327345263,0.00285375498831219,4828.9143991102,242.889520438437,6.69197190343113,6.62845916666667,0.00562849328997103,"SH117","troR","PR","-Fe",2,1,NA,NA,NA,NA,"troR (-Fe)"
"11","108",363351.828827561,0.0969470160355297,0.00436458567763091,3468.07655906237,158.811679219042,7.28630721576605,7.21446083333333,0.00799356895877292,"SH117","troR","PR","-Fe",3,1,NA,NA,NA,NA,"troR (-Fe)"
"92","73",0.775649487034077,0.0697333140672269,0.0884016101044645,26.1852507583717,7.8408886415174,29.5593873034385,29.32168,0.021837927852335,"H26","pyrE","PR","100microMFe",1,1,NA,NA,NA,NA,"pyrE (100microMFe)"
"93","74",0.768803909040768,0.0650631711542631,0.0899600882873293,26.4678637133392,7.70505224879346,29.1307803282804,28.8986725,0.0222475325951487,"H26","pyrE","PR","100microMFe",2,1,NA,NA,NA,NA,"pyrE (100microMFe)"
"94","75",0.775331190775376,0.0794033228767896,0.0844097176085793,25.716302117509,8.21169884460666,29.792976077757,29.5166725,0.0206704675236043,"H26","pyrE","PR","100microMFe",3,1,NA,NA,NA,NA,"pyrE (100microMFe)"
"95","76",0.716838267187777,0.0740486077454855,0.093353167282978,23.1496784833297,7.42499907323802,29.3155133485777,29.0136691666667,0.014216592936312,"SH118","idr","PR","100microMFe",1,1,NA,NA,NA,NA,"idr (100microMFe)"
"96","77",0.715920331736542,0.092570201060703,0.0919567675600752,20.7395402422937,7.53775060772024,30.7408177457763,30.4169358333333,0.0145534048790451,"SH118","idr","PR","100microMFe",2,1,NA,NA,NA,NA,"idr (100microMFe)"
"97","78",0.709804532646733,0.0873381222585952,0.0960872482725571,20.438743479101,7.21372703476524,30.76123548807,30.4534441666667,0.0150452126850067,"SH118","idr","PR","100microMFe",3,1,NA,NA,NA,NA,"idr (100microMFe)"
"98","79",0.712427760406944,0.0695832149767845,0.0907248659212461,24.5068376107009,7.6401014597435,28.2382189504259,27.992935,0.0187656756303065,"SH119","sirR","PR","100microMFe",1,1,NA,NA,NA,NA,"sirR (100microMFe)"
"100","80",0.749139956320219,0.0954615272675264,0.084896984142302,22.6614907560407,8.16456777072447,30.7538398943343,30.4739591666667,0.0203080901630804,"SH119","sirR","PR","100microMFe",2,1,NA,NA,NA,NA,"sirR (100microMFe)"
"101","81",0.79672265394156,0.10338812755187,0.0827894299774246,22.9862975309608,8.37241155965146,32.4281534694704,32.1242183333333,0.0205054098418278,"SH119","sirR","PR","100microMFe",3,1,NA,NA,NA,NA,"sirR (100microMFe)"
"102","82",32570374.3622867,0.0747108834896855,0.0221075275030453,899.831207615217,31.3534464885078,10.8412432401513,10.71439,0.00812745815783762,"SH117","troR","PR","100microMFe",1,1,NA,NA,NA,NA,"troR (100microMFe)"
"103","83",9558316.05602822,0.0718744188895718,0.0270220905352954,692.239446008252,25.6511308647485,12.7453062965851,12.59716,0.0152863414735835,"SH117","troR","PR","100microMFe",2,1,NA,NA,NA,NA,"troR (100microMFe)"
"104","84",4.61720825017165,0.0815634953133114,0.0274375192445574,146.454228940175,25.2627496816222,14.1074890420069,13.9154108333333,0.0153377606511929,"SH117","troR","PR","100microMFe",3,1,NA,NA,NA,NA,"troR (100microMFe)"
"118","97",0.639974073526775,0.076530831136482,0.0659179036699787,30.2857465555217,10.5153098319118,21.9177497909185,21.6764183333333,0.015409354247867,"H26","pyrE","PR","-Fe",1,1,NA,NA,NA,NA,"pyrE (-Fe)"
"119","98",0.709740024779373,0.0784512368429859,0.0621807042264867,33.5359048408948,11.1473034791505,22.5034926588936,22.2604233333333,0.0174683005790914,"H26","pyrE","PR","-Fe",2,1,NA,NA,NA,NA,"pyrE (-Fe)"
"120","99",0.713699560139361,0.076018805823943,0.060788548759872,34.9877906560602,11.4025946448899,21.8532648445209,21.6344266666667,0.0199952529617304,"H26","pyrE","PR","-Fe",3,1,NA,NA,NA,NA,"pyrE (-Fe)"
