"","ID","strain","name","condition","time","reps","average","sd","CI95","sem","facet"
"1","idr-Fe","SH118","idr","-Fe",0,6,0,0,0,0,"-Fe"
"2","idr-Fe","SH118","idr","-Fe",0.501666666666667,6,0.000834021124247448,0.000529574315667305,0.000555754160834796,0.000216197809044747,"-Fe"
"3","idr-Fe","SH118","idr","-Fe",1.00166666666667,6,0.00168017665705343,0.00106948249003222,0.00112235304128451,0.000436614398236687,"-Fe"
"4","idr-Fe","SH118","idr","-Fe",1.50166666666667,6,0.00254124253644821,0.00162144898233279,0.0017016063503331,0.000661953775111731,"-Fe"
"5","idr-Fe","SH118","idr","-Fe",2.00166666666667,6,0.00341723451043337,0.00218544357828036,0.00229348238002922,0.000892203604738186,"-Fe"
"6","idr-Fe","SH118","idr","-Fe",2.50166666666667,6,0.0043081536739608,0.00276142009883379,0.00289793266844127,0.00112734503460145,"-Fe"
"7","idr-Fe","SH118","idr","-Fe",3.00166666666667,6,0.00521398594644056,0.0033493158729891,0.00351489144638409,0.00136735247937128,"-Fe"
"8","idr-Fe","SH118","idr","-Fe",3.50166666666667,6,0.00613470157101538,0.00394905123505724,0.00414427510984432,0.00161219341566633,"-Fe"
"9","idr-Fe","SH118","idr","-Fe",4.00166666666667,6,0.00707025463875511,0.00456052904967073,0.00478598172150543,0.00186182818813886,"-Fe"
"10","idr-Fe","SH118","idr","-Fe",4.50166666666667,6,0.00802058264096864,0.00518363426779069,0.00543989054480567,0.00211620982821545,"-Fe"
"11","idr-Fe","SH118","idr","-Fe",5.00166666666667,6,0.00898560605285207,0.00581823351699693,0.00610586161397394,0.00237528388683355,"-Fe"
"12","idr-Fe","SH118","idr","-Fe",5.50166666666667,6,0.00996522795169403,0.0064641747293341,0.00678373534347819,0.00263898828251035,"-Fe"
"13","idr-Fe","SH118","idr","-Fe",6.00166666666667,6,0.0109593336728369,0.00712128680995094,0.0074733321802837,0.00290725316606533,"-Fe"
"14","idr-Fe","SH118","idr","-Fe",6.50166666666667,6,0.011967790506547,0.00778937934971327,0.00817445230225891,0.00318000080329496,"-Fe"
"15","idr-Fe","SH118","idr","-Fe",7.00166666666667,6,0.0129904474388759,0.00846824238488632,0.00888687536597747,0.00345714547686347,"-Fe"
"16","idr-Fe","SH118","idr","-Fe",7.50166666666667,6,0.0140271349394973,0.00915764620687178,0.00961036030704952,0.00373859340862828,"-Fe"
"17","idr-Fe","SH118","idr","-Fe",8.00166666666667,6,0.0150776647993801,0.00985734122484885,0.0103446451959723,0.0040242427035635,"-Fe"
"18","idr-Fe","SH118","idr","-Fe",8.50166666666667,6,0.0161418300210063,0.0105670578840039,0.0110894471523176,0.00431398331637729,"-Fe"
"19","idr-Fe","SH118","idr","-Fe",9.00166666666667,6,0.0172194047636634,0.0112865066418426,0.0118444623198723,0.00460769704184126,"-Fe"
"20","idr-Fe","SH118","idr","-Fe",9.50166666666667,6,0.0183101443461339,0.0120153780048598,0.0126093659051221,0.0049052575297611,"-Fe"
"21","idr-Fe","SH118","idr","-Fe",10.0016666666667,6,0.0194137853088711,0.0127533426275998,0.0133838122812079,0.00520653032541752,"-Fe"
"22","idr-Fe","SH118","idr","-Fe",10.5016666666667,6,0.0205300455374892,0.0135000514758667,0.0141674351592049,0.00551137293619675,"-Fe"
"23","idr-Fe","SH118","idr","-Fe",11.0016666666667,6,0.0216586244491135,0.0142551360555544,0.014959847828265,0.00581963492500984,"-Fe"
"24","idr-Fe","SH118","idr","-Fe",11.5016666666667,6,0.0227992032428213,0.0150182087082452,0.0157606434658287,0.0061311580309706,"-Fe"
"25","idr-Fe","SH118","idr","-Fe",12.0016666666667,6,0.0239514452150804,0.0157888629743925,0.0165693955187616,0.00644577631766394,"-Fe"
"26","idr-Fe","SH118","idr","-Fe",12.5016666666667,6,0.0251149961407345,0.0165666740245424,0.0173856581558938,0.00676331634919152,"-Fe"
"27","idr-Fe","SH118","idr","-Fe",13.0016666666667,6,0.0262894847197199,0.0173511991586797,0.0182089667920517,0.00708359739402901,"-Fe"
"28","idr-Fe","SH118","idr","-Fe",13.5016666666667,6,0.0274745230893125,0.0181419783733967,0.0190388386832647,0.00740643165657158,"-Fe"
"29","idr-Fe","SH118","idr","-Fe",14.0016666666667,6,0.0286697074013111,0.0189385349961863,0.0198747735924153,0.00773162453608311,"-Fe"
"30","idr-Fe","SH118","idr","-Fe",14.5016666666667,6,0.029874618463156,0.0197403763857583,0.0207162545241758,0.00805897491259902,"-Fe"
"31","idr-Fe","SH118","idr","-Fe",15.0016666666667,6,0.0310888224415766,0.0205469946968687,0.0215627485276478,0.00838827545916669,"-Fe"
"32","idr-Fe","SH118","idr","-Fe",15.5016666666667,6,0.0323118716269507,0.0213578677077466,0.0224137075646928,0.00871931297964088,"-Fe"
"33","idr-Fe","SH118","idr","-Fe",16.0016666666667,6,0.0335433052561493,0.0221724597077972,0.0232685694415201,0.0090518687710871,"-Fe"
"34","idr-Fe","SH118","idr","-Fe",16.5016666666667,6,0.0347826503912437,0.0229902224428645,0.0241267588006785,0.00938571900968336,"-Fe"
"35","idr-Fe","SH118","idr","-Fe",17.0016666666667,6,0.036029422851059,0.0238105961149503,0.0249876881701977,0.00972063515885394,"-Fe"
"36","idr-Fe","SH118","idr","-Fe",17.5016666666667,6,0.0372831281921819,0.0246330104329191,0.0258507590662349,0.0100563843982177,"-Fe"
"37","idr-Fe","SH118","idr","-Fe",18.0016666666667,6,0.038543262735677,0.0254568857103633,0.0267153631452141,0.0103927300717898,"-Fe"
"38","idr-Fe","SH118","idr","-Fe",18.5016666666667,6,0.039809314635428,0.026281634006477,0.0275808834010992,0.0107294321537412,"-Fe"
"39","idr-Fe","SH118","idr","-Fe",19.0016666666667,6,0.0410807649837128,0.0271066603054832,0.0284466954031278,0.0110662477298982,"-Fe"
"40","idr-Fe","SH118","idr","-Fe",19.5016666666667,6,0.0423570889493405,0.0279313637298851,0.0293121685690395,0.0114029314930499,"-Fe"
"41","idr-Fe","SH118","idr","-Fe",20.0016666666667,6,0.043637756943434,0.0287551387825704,0.0301766674685846,0.0117392362500355,"-Fe"
