"","variable","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","strain","name","media","condition","techrep","biorep","X","X.1","ID"
"35","13",0.3868448621022,0.241802891762136,0.0933925618900965,-5.47259584618453,7.42186707947507,14.7324847035152,14.5496205555556,0.00847446792554279,"H26","pyrE","PR","--Fe",1,1,NA,NA,"pyrE (--Fe)"
"46","14",0.378283345960912,0.238704149001635,0.10255081223709,-5.23245738223043,6.75906085421768,14.5939526222654,14.4151170833333,0.00826098680428179,"H26","pyrE","PR","--Fe",2,1,NA,NA,"pyrE (--Fe)"
"57","15",0.37921178462646,0.239011331412159,0.106480838314138,-5.00970657066003,6.50959544960597,14.6836478766942,14.5031206944444,0.00804123177594665,"H26","pyrE","PR","--Fe",3,1,NA,NA,"pyrE (--Fe)"
"68","16",0.363234402406975,0.256973563873876,0.130700297550003,-6.75649879555412,5.30333284279449,14.661449924331,14.4873968055556,0.00885101547782541,"H26","pyrE","PR","--Fe",1,2,NA,NA,"pyrE (--Fe)"
"79","17",0.368934779149835,0.251939731106904,0.122775894347601,-6.24762940010872,5.64562925192397,14.7251217265221,14.5496377777778,0.00860703481882792,"H26","pyrE","PR","--Fe",2,2,NA,NA,"pyrE (--Fe)"
"90","18",0.370718799219381,0.257615297331732,0.132241179652006,-6.22471784724468,5.24153809262721,14.9247252268064,14.7453995833333,0.00903036775820609,"H26","pyrE","PR","--Fe",3,2,NA,NA,"pyrE (--Fe)"
"101","19",0.351996705830648,0.245051150794907,0.174914435665139,-4.74030111256197,3.96277858899494,14.4075356623868,14.23864375,0.00687245488708599,"H26","pyrE","PR","--Fe",1,3,NA,NA,"pyrE (--Fe)"
"106","20",0.372677089678666,0.261554755486203,0.12213805012986,-7.00856077531343,5.67511254537776,14.9515349295845,14.7764055555556,0.00961522894314715,"H26","pyrE","PR","--Fe",2,3,NA,NA,"pyrE (--Fe)"
"107","21",0.35745291437878,0.257975522186197,0.125987358102203,-7.5637295306862,5.50172010113628,14.4500015332592,14.2786652777778,0.00743592919425133,"H26","pyrE","PR","--Fe",3,3,NA,NA,"pyrE (--Fe)"
"108","22",0.415528735278531,0.273864073436108,0.0492848078252635,-13.3746929648172,14.0641145039554,14.8608666986412,14.6711873611111,0.00678486346364185,"SH117","troR","PR","--Fe",1,1,NA,NA,"troR (--Fe)"
