Label,Info,variable,strain,name,media,condition,techrep,biorep,,
,,Blank,,,,,,,,
,,1,none,blank,PR,100microMFe,1,,,
,,2,none,blank,PR,100microMFe,2,,,
,,3,none,blank,PR,100microMFe,3,,,
,,4,none,blank,PR,-Fe,1,,,
,,5,none,blank,PR,-Fe,2,,,
,,6,none,blank,PR,-Fe,3,,,
,,7,none,blank,PR,10microMFe,1,,,
,,8,none,blank,PR,10microMFe,2,,,
,,9,none,blank,PR,1microMFe,1,,,
,,10,none,blank,PR,1microMFe,2,,,
,,11,H26,pyrE,PR,100microMFe,1,1,,
,,12,H26,pyrE,PR,100microMFe,2,1,,
,,13,H26,pyrE,PR,100microMFe,3,1,,
,,14,H26,pyrE,PR,100microMFe,1,2,,
,,15,H26,pyrE,PR,100microMFe,2,2,,
,,16,H26,pyrE,PR,100microMFe,3,2,,
,,17,H26,pyrE,PR,1microMFe,1,1,,
,,18,H26,pyrE,PR,1microMFe,2,1,,
,,19,H26,pyrE,PR,1microMFe,3,1,,
,,20,H26,pyrE,PR,1microMFe,1,2,,
,,21,H26,pyrE,PR,1microMFe,2,2,,
,,22,H26,pyrE,PR,1microMFe,3,2,,
,,23,H26,pyrE,PR,-Fe,1,1,,
,,24,H26,pyrE,PR,-Fe,2,1,,
,,25,H26,pyrE,PR,-Fe,3,1,,
,,26,H26,pyrE,PR,-Fe,1,2,,
,,27,H26,pyrE,PR,-Fe,2,2,,
,,28,H26,pyrE,PR,-Fe,3,2,,
,,31,HM33,pyrE,PR,100microMFe,1,1,,
,,32,HM33,pyrE,PR,100microMFe,2,1,,
,,33,HM33,pyrE,PR,100microMFe,3,1,,
,,34,HM33,pyrE,PR,10microMFe,1,1,,
,,35,HM33,pyrE,PR,10microMFe,2,1,,
,,36,HM33,pyrE,PR,10microMFe,3,1,,
,,37,HM33,pyrE,PR,1microMFe,1,1,,
,,38,HM33,pyrE,PR,1microMFe,2,1,,
,,39,HM33,pyrE,PR,1microMFe,3,2,,
,,40,HM33,pyrE,PR,1microMFe,1,2,,
,,41,HM33,pyrE,PR,1microMFe,2,2,,
,,42,HM33,pyrE,PR,1microMFe,3,1,,
,,43,HM33,pyrE,PR,-Fe,1,1,,
,,44,HM33,pyrE,PR,-Fe,2,2,,
,,45,HM33,pyrE,PR,-Fe,3,2,,
