Label,Info,variable,strain,name,media,condition,techrep,biorep,,
,,Blank,,,,,,,,
,,1,none,blank,PR,-Fe,1,,,
,,2,none,blank,PR,-Fe,2,,,
,,3,none,blank,PR,-Fe,3,,,
,,4,none,blank,PR,100microMFe,1,,,
,,5,none,blank,PR,100microMFe,2,,,
,,6,none,blank,PR,100microMFe,3,,,
,,7,none,blank,PR,Fe+ascorbate,1,,,
,,8,none,blank,PR,Fe+ascorbate,2,,,
,,9,none,blank,PR,Fe+ascorbate,3,,,
,,10,none,blank,PR,Fe+L-cys,1,,,
,,11,none,blank,PR,Fe+L-cys,2,,,
,,12,none,blank,PR,Fe+L-cys,3,,,
,,13,H26,pyrE,PR,--Fe,1,1,,
,,14,H26,pyrE,PR,--Fe,2,1,,
,,15,H26,pyrE,PR,--Fe,3,1,,
,,16,H26,pyrE,PR,--Fe,1,2,,
,,17,H26,pyrE,PR,--Fe,2,2,,
,,18,H26,pyrE,PR,--Fe,3,2,,
,,19,H26,pyrE,PR,--Fe,1,3,,
,,20,H26,pyrE,PR,--Fe,2,3,,
,,21,H26,pyrE,PR,--Fe,3,3,,
,,22,SH117,troR,PR,--Fe,1,1,,
,,23,SH117,troR,PR,--Fe,2,1,,
,,24,SH117,troR,PR,--Fe,3,1,,
,,25,SH117,troR,PR,--Fe,1,2,,
,,26,SH117,troR,PR,--Fe,2,2,,
,,27,SH117,troR,PR,--Fe,3,2,,
,,28,SH117,troR,PR,--Fe,1,3,,
,,29,SH117,troR,PR,--Fe,2,3,,
,,30,SH117,troR,PR,--Fe,3,3,,
,,31,AKS338,arsR,PR,--Fe,1,1,,
,,32,AKS338,arsR,PR,--Fe,2,1,,
,,33,AKS338,arsR,PR,--Fe,3,1,,
,,34,AKS338,arsR,PR,--Fe,1,2,,
,,35,AKS338,arsR,PR,--Fe,2,2,,
,,36,AKS338,arsR,PR,--Fe,3,2,,
,,37,AKS338,arsR,PR,--Fe,1,3,,
,,38,AKS338,arsR,PR,--Fe,2,3,,
,,39,AKS338,arsR,PR,--Fe,3,3,,
,,40,SH121,TroRHA,PR,--Fe,1,1,,
,,41,SH121,TroRHA,PR,--Fe,2,1,,
,,42,SH121,TroRHA,PR,--Fe,3,1,,
,,43,SH121,TroRHA,PR,--Fe,1,2,,
,,44,SH121,TroRHA,PR,-Fe,2,2,,
,,45,SH121,TroRHA,PR,-Fe,3,2,,
,,46,SH121,TroRHA,PR,-Fe,1,3,,
,,47,SH121,TroRHA,PR,-Fe,2,3,,
,,48,SH121,TroRHA,PR,-Fe,3,3,,
,,49,AKS343,ArsRHA,PR,-Fe,1,1,,
,,50,AKS343,ArsRHA,PR,-Fe,2,1,,
,,51,AKS343,ArsRHA,PR,-Fe,3,1,,
,,52,AKS343,ArsRHA,PR,-Fe,1,2,,
,,53,AKS343,ArsRHA,PR,-Fe,2,2,,
,,54,AKS343,ArsRHA,PR,-Fe,3,2,,
,,55,AKS343,ArsRHA,PR,-Fe,1,3,,
,,56,AKS343,ArsRHA,PR,-Fe,2,3,,
,,57,AKS343,ArsRHA,PR,-Fe,3,3,,
,,58,H26,pyrE,PR,100microMFe,1,1,,
,,59,H26,pyrE,PR,100microMFe,2,1,,
,,60,H26,pyrE,PR,100microMFe,3,1,,
,,61,H26,pyrE,PR,100microMFe,1,2,,
,,62,H26,pyrE,PR,100microMFe,2,2,,
,,63,H26,pyrE,PR,100microMFe,3,2,,
,,64,H26,pyrE,PR,100microMFe,1,3,,
,,65,H26,pyrE,PR,100microMFe,2,3,,
