Label,Info,variable,strain,name,media,condition,techrep,biorep
,,Blank,,,,,,
,,1,none,blank,PR,(-Fe),1,
,,2,none,blank,PR,(10Fe),1,
,,3,none,blank,PR,(100Fe),1,
,,4,none,blank,PR,(250Fe),1,
,,5,H26,pyrE,PR,(--Fe),1,1
,,6,H26,pyrE,PR,(--Fe),2,1
,,7,H26,pyrE,PR,(--Fe),3,1
,,8,H26,pyrE,PR,(--Fe),1,2
,,9,H26,pyrE,PR,(--Fe),2,2
,,10,H26,pyrE,PR,(--Fe),3,2
,,11,H26,pyrE,PR,(--Fe),1,3
,,12,H26,pyrE,PR,(--Fe),2,3
,,13,H26,pyrE,PR,(--Fe),3,3
,,14,SH118,idr,PR,(--Fe),1,1
,,15,SH118,idr,PR,(--Fe),2,1
,,16,SH118,idr,PR,(--Fe),3,1
,,17,SH118,idr,PR,(--Fe),1,2
,,18,SH118,idr,PR,(--Fe),2,2
,,19,SH118,idr,PR,(--Fe),3,2
,,20,SH118,idr,PR,(--Fe),1,3
,,21,SH118,idr,PR,(--Fe),2,3
,,22,SH118,idr,PR,(--Fe),3,3
,,23,SH119,sirR,PR,(--Fe),1,1
,,24,SH119,sirR,PR,(--Fe),2,1
,,25,SH119,sirR,PR,(--Fe),3,1
,,26,SH119,sirR,PR,(--Fe),1,2
,,27,SH119,sirR,PR,(--Fe),2,2
,,28,SH119,sirR,PR,(--Fe),3,2
,,29,SH119,sirR,PR,(--Fe),1,3
,,30,SH119,sirR,PR,(--Fe),2,3
,,31,SH119,sirR,PR,(--Fe),3,3
,,32,SH117,troR,PR,(--Fe),1,1
,,33,SH117,troR,PR,(--Fe),2,1
,,34,SH117,troR,PR,(--Fe),3,1
,,35,SH117,troR,PR,(--Fe),1,2
,,36,SH117,troR,PR,(--Fe),2,2
,,37,SH117,troR,PR,(--Fe),3,2
,,38,SH117,troR,PR,(--Fe),1,3
,,39,SH117,troR,PR,(--Fe),2,3
,,40,SH117,troR,PR,(--Fe),3,3
,,41,AKS338,arsR,PR,(--Fe),1,1
,,42,AKS338,arsR,PR,(--Fe),2,1
,,43,AKS338,arsR,PR,(--Fe),3,1
,,44,H26,pyrE,PR,(-Fe),1,1
,,45,H26,pyrE,PR,(-Fe),2,1
,,46,H26,pyrE,PR,(-Fe),3,1
,,47,H26,pyrE,PR,(-Fe),1,2
,,48,H26,pyrE,PR,(-Fe),2,2
,,49,H26,pyrE,PR,(-Fe),3,2
,,50,H26,pyrE,PR,(-Fe),1,3
,,51,H26,pyrE,PR,(-Fe),2,3
,,52,H26,pyrE,PR,(-Fe),3,3
,,53,SH118,idr,PR,(-Fe),1,1
,,54,SH118,idr,PR,(-Fe),2,1
,,55,SH118,idr,PR,(-Fe),3,1
,,56,SH118,idr,PR,(-Fe),1,2
,,57,SH118,idr,PR,(-Fe),2,2
,,58,SH118,idr,PR,(-Fe),3,2
,,59,SH118,idr,PR,(-Fe),1,3
,,60,SH118,idr,PR,(-Fe),2,3
,,61,SH118,idr,PR,(-Fe),3,3
,,62,SH119,sirR,PR,(-Fe),1,1
,,63,SH119,sirR,PR,(-Fe),2,1
,,64,SH119,sirR,PR,(-Fe),3,1
,,65,SH119,sirR,PR,(-Fe),1,2
,,66,SH119,sirR,PR,(-Fe),2,2
,,67,SH119,sirR,PR,(-Fe),3,2
,,68,SH119,sirR,PR,(-Fe),1,3
,,69,SH119,sirR,PR,(-Fe),2,3
,,70,SH119,sirR,PR,(-Fe),3,3
,,71,SH117,troR,PR,(-Fe),1,1
