Operon,IdGene,Type,COGgene,start,end,end.gff,Strand,Function,chr,acc,locus_tag,old_locus_tag,length_nt,type,annotation
1,cds0,CDS,COG1474,258,1952,1952,+,"[LO] Cdc6-related protein, AAA superfamily ATPase ",NC_013967.1,WP_004044954.1,HVO_RS04710,HVO_0001,1695,protein_coding,cell division control protein Cdc6
3,cds2,CDS,COG1311,2942,4543,4543,+,"[L] Archaeal DNA polymerase II, small subunit/DNA",NC_013967.1,WP_004044956.1,HVO_RS04720,HVO_0003,1602,protein_coding,DNA polymerase II
4,cds3,CDS,COG1902,4686,5813,5813,+,"[C] NADH:flavin oxidoreductases, Old Yellow Enzyme family",NC_013967.1,WP_004044957.1,HVO_RS04725,HVO_0004,1128,protein_coding,NADH:flavin oxidoreductase
5,cds4,CDS,COG0428,5936,6745,6745,-,[P] Predicted divalent heavy-metal cations transporter ,NC_013967.1,WP_013035623.1,HVO_RS04730,HVO_0005,810,protein_coding,ZIP family metal transporter
7,cds6,CDS,COG0527,7470,8648,8648,+,[E] Aspartokinases     ,NC_013967.1,WP_004044963.1,HVO_RS04740,HVO_0008,1179,protein_coding,aspartate kinase
8,cds7,CDS,COG3033,8873,10219,10219,+,[E] Tryptophanase     ,NC_013967.1,WP_004044965.1,HVO_RS04745,HVO_0009,1347,protein_coding,L-cysteine desulfhydrase
9,cds8,CDS,COG0622,10248,10907,10907,-,[R] Predicted phosphoesterase    ,NC_013967.1,WP_004044967.1,HVO_RS04750,HVO_0010,660,protein_coding,metallophosphoesterase
9,cds9,CDS,COG3363,10956,11528,11528,-,[F] Archaeal IMP cyclohydrolase   ,NC_013967.1,WP_004044970.1,HVO_RS04755,HVO_0011,573,protein_coding,IMP cyclohydrolase
11,cds10,CDS,COG1617,11897,12391,12391,-,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004044972.1,HVO_RS04765,HVO_0013,495,protein_coding,KEOPS complex component
11,cds11,CDS,COG1204,12388,14871,14871,-,[R] Superfamily II helicase   ,NC_013967.1,WP_004044974.1,HVO_RS04770,HVO_0014,2484,protein_coding,DEAD/DEAH box helicase
12,cds12,CDS,COG1141,14980,15225,15225,+,[C] Ferredoxin     ,NC_013967.1,WP_004044976.1,HVO_RS04775,HVO_0015,246,protein_coding,ferredoxin
15,cds15,CDS,COG4711,17030,17488,17488,-,[S] Predicted membrane protein   ,NC_013967.1,WP_004044988.1,HVO_RS04790,HVO_0018,459,protein_coding,DUF2391 domain-containing protein
16,cds16,CDS,COG0500,17615,18295,18295,+,[QR] SAM-dependent methyltransferases    ,NC_013967.1,WP_004044996.1,HVO_RS04795,HVO_0019,681,protein_coding,class I SAM-dependent methyltransferase
17,cds17,CDS,COG3842,18323,19408,19408,-,"[E] ABC-type spermidine/putrescine transport systems, ATPase components",NC_013967.1,WP_004045000.1,HVO_RS04800,HVO_0020,1086,protein_coding,ABC transporter ATP-binding protein
17,cds18,CDS,COG1178,19512,21233,21233,-,"[P] ABC-type Fe3+ transport system, permease component",NC_013967.1,WP_004045002.1,HVO_RS04805,HVO_0021,1722,protein_coding,iron ABC transporter permease
17,cds19,CDS,COG4143,21243,22379,22379,-,"[H] ABC-type thiamine transport system, periplasmic component",NC_013967.1,WP_004045003.1,HVO_RS04810,HVO_0022,1137,protein_coding,thiamine ABC transporter substrate-binding protein
18,cds20,CDS,COG0628,22510,23400,23400,+,[R] Predicted permease    ,NC_013967.1,WP_004045004.1,HVO_RS04815,HVO_0023,891,protein_coding,AI-2E family transporter
19,cds21,CDS,COG2897,23410,24186,24186,-,[P] Rhodanese-related sulfurtransferase    ,NC_013967.1,WP_004045005.1,HVO_RS04820,HVO_0024,777,protein_coding,sulfurtransferase
20,cds22,CDS,COG2897,24438,25298,25298,+,[P] Rhodanese-related sulfurtransferase    ,NC_013967.1,WP_004045008.1,HVO_RS04825,HVO_0025,861,protein_coding,sulfurtransferase
21,cds23,CDS,COG2031,25352,26794,26794,-,[I] Short chain fatty acids transporter ,NC_013967.1,WP_004045012.1,HVO_RS04830,HVO_0026,1443,protein_coding,short-chain fatty acid transporter
24,cds26,CDS,COG0556,28190,30286,30286,+,[L] Helicase subunit of the DNA excision,NC_013967.1,WP_004045019.1,HVO_RS04845,HVO_0029,2097,protein_coding,excinuclease ABC subunit UvrB
24,cds27,CDS,COG1051,30293,30712,30712,+,[F] ADP-ribose pyrophosphatase    ,NC_013967.1,WP_004045021.1,HVO_RS04850,HVO_0030,420,protein_coding,NUDIX hydrolase
25,cds29,CDS,COG0730,31121,32206,32206,+,[R] Predicted permeases    ,NC_013967.1,WP_004045023.1,HVO_RS04855,HVO_0032,1086,protein_coding,sulfite exporter TauE/SafE family protein
25,cds30,CDS,COG0589,32276,32716,32716,+,[T] Universal stress protein UspA and related,NC_013967.1,WP_004045027.1,HVO_RS04860,HVO_0033,441,protein_coding,universal stress protein
26,cds31,CDS,COG1607,32744,33238,33238,-,[I] Acyl-CoA hydrolase    ,NC_013967.1,WP_004045032.1,HVO_RS04865,HVO_0034,495,protein_coding,acyl-CoA thioesterase
27,cds32,CDS,COG0330,33689,34879,34879,-,"[O] Membrane protease subunits, stomatin/prohibitin homologs ",NC_013967.1,WP_004045034.1,HVO_RS04870,HVO_0035,1191,protein_coding,SPFH/Band 7/PHB domain protein
28,cds34,CDS,COG1514,35225,35722,35722,+,[J] 2'-5' RNA ligase   ,NC_013967.1,WP_004045040.1,HVO_RS04880,HVO_0037,498,protein_coding,phosphoesterase
29,cds35,CDS,COG2124,35776,37152,37152,-,[Q] Cytochrome P450    ,NC_013967.1,WP_004045041.1,HVO_RS04885,HVO_0038,1377,protein_coding,cytochrome P450
30,cds36,CDS,COG1199,37234,39438,39438,-,[KL] Rad3-related DNA helicases   ,NC_013967.1,WP_004045042.1,HVO_RS04890,HVO_0039,2205,protein_coding,ATP-dependent DNA helicase
32,cds38,CDS,COG0078,40093,40992,40992,-,[E] Ornithine carbamoyltransferase    ,NC_013967.1,WP_004045044.1,HVO_RS04900,HVO_0041,900,protein_coding,ornithine carbamoyltransferase
32,cds39,CDS,COG0624,41076,42221,42221,-,[E] Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases,NC_013967.1,WP_004045045.1,HVO_RS04905,HVO_0042,1146,protein_coding,acetyl-lysine deacetylase
32,cds40,CDS,COG4992,42218,43354,43354,-,[E] Ornithine/acetylornithine aminotransferase    ,NC_013967.1,WP_004045048.1,HVO_RS04910,HVO_0043,1137,protein_coding,acetylornithine aminotransferase
32,cds41,CDS,COG0548,43351,44334,44334,-,[E] Acetylglutamate kinase    ,NC_013967.1,WP_004045050.1,HVO_RS04915,HVO_0044,984,protein_coding,acetylglutamate kinase
32,cds42,CDS,COG0002,44389,45432,45432,-,[E] Acetylglutamate semialdehyde dehydrogenase   ,NC_013967.1,WP_004045051.1,HVO_RS04920,HVO_0045,1044,protein_coding,N-acetyl-gamma-glutamyl-phosphate reductase
32,cds43,CDS,COG0189,45429,46304,46304,-,[HJ] Glutathione synthase/Ribosomal protein S6 modification enzyme,NC_013967.1,WP_004045055.1,HVO_RS04925,HVO_0046,876,protein_coding,lysine biosynthesis protein LysX
